Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-02-21 06:30:00,Running,,2.00,15:00,7:30,8.00,283.0,,,,
2014-02-18 06:45:00,Running,,1.00,7:30,7:30,8.00,142.0,,,"+45mins bball & plyo",
2014-02-17 10:15:00,Running,,3.00,22:30,7:30,8.00,425.0,,,"+35mins bball",
2014-02-14 10:35:00,Running,,2.50,19:00,7:36,7.89,353.0,,,"Day 1 of getting back into the swing. +60mins bball.",
2014-01-17 11:50:53,Running,,2.00,14:45,7:23,8.14,295.004142070203,,,"Bball 60 mins. Wallet stolen. ",
2014-01-13 14:15:49,Running,,1.00,7:28,7:28,8.04,141.0,,,"+60mins bball",
2014-01-03 17:18:35,Walking,,1.65,18:56,11:27,5.24,185.0,34.35,,,2014-01-03-1718.gpx
2013-12-13 11:30:00,Running,,2.00,14:40,7:20,8.18,280.0,,,"+75mins Bball",
2013-12-10 12:14:27,Running,,4.00,29:00,7:15,8.28,557.0,,,,
2013-12-07 09:04:07,Running,,3.27,22:30,6:53,8.72,447.0,48.00,,,2013-12-07-0904.gpx
2013-12-05 07:33:13,Running,,4.60,34:00,7:23,8.12,647.0,,,"+60mins Bball",
2013-12-03 05:45:00,Running,,4.60,34:00,7:24,8.11,647.0,1.02,,"+90mins Bball",2013-12-03-0545.gpx
2013-12-01 10:23:07,Running,,6.01,46:02,7:39,7.84,849.0,96.68,,,2013-12-01-1023.gpx
2013-11-30 09:45:17,Running,,3.19,23:14,7:18,8.23,449.0,46.27,,,2013-11-30-0945.gpx
2013-11-25 08:37:44,Running,,6.00,45:00,7:30,8.00,850.0,,,,
2013-11-22 19:00:00,Running,,4.50,34:00,7:33,7.94,636.0,,,,
2013-11-21 18:06:01,Running,,3.17,23:04,7:17,8.23,445.0,45.09,,,2013-11-21-1806.gpx
2013-11-18 06:52:39,Running,"UIC 5K",3.35,23:31,7:01,8.55,453.0,45.82,,,2013-11-18-0652.gpx
2013-11-15 07:02:00,Running,,3.15,23:00,7:19,8.21,446.0,14.44,,,2013-11-15-0702.gpx
2013-11-15 07:00:00,Running,,4.02,30:00,7:28,8.03,576.0,20.30,,,2013-11-15-0700.gpx
2013-09-17 06:40:57,Running,,3.09,20:26,6:37,9.08,429.0,44.61,,,2013-09-17-0640.gpx
2013-09-11 06:38:31,Running,,3.20,22:05,6:54,8.69,437.0,40.11,,,2013-09-11-0638.gpx
2013-09-09 06:44:32,Running,,5.60,39:54,7:08,8.42,777.0,76.44,,,2013-09-09-0644.gpx
2013-09-04 06:50:32,Running,,1.57,10:45,6:52,8.75,211.0,18.00,,,2013-09-04-0650.gpx
2013-08-30 06:51:23,Running,,4.08,30:01,7:21,8.16,554.0,41.53,,,2013-08-30-0651.gpx
2013-08-28 18:16:28,Running,,3.42,23:37,6:54,8.69,476.0,45.91,,,2013-08-28-1816.gpx
2013-08-26 17:44:59,Running,,1.55,10:48,6:58,8.61,216.0,18.18,,,2013-08-26-1744.gpx
2013-08-24 11:16:09,Running,,4.03,29:29,7:19,8.19,549.0,46.55,,,2013-08-24-1116.gpx
2013-08-22 17:57:42,Running,,3.63,24:31,6:46,8.87,493.0,44.27,,,2013-08-22-1757.gpx
2013-08-20 07:07:55,Running,,4.24,28:15,6:40,9.00,554.0,56.83,,,2013-08-20-0707.gpx
2013-08-19 06:50:59,Running,,2.02,14:03,6:57,8.63,279.0,28.41,,,2013-08-19-0650.gpx
2013-08-18 08:44:58,Running,,3.13,19:41,6:18,9.53,430.0,49.09,,"5K test race.",2013-08-18-0844.gpx
2013-08-15 17:07:18,Cycling,,2.99,12:14,4:06,14.62,148.0,44.23,,,2013-08-15-1707.gpx
